date,income_studentfinance,income_other,income_options,income_work,groceries,alchohol,rent,tax,travel,books_education,books_other,entertainment,eatingout,clothing,nightout,pub,utilities,investing,getrichquick,lpig,sport,other,end,total,outby
08/04/2019,0,0,0,0,-45.52,-13.3,0,0,0,0,0,0,-33.28,0,-12.85,0,0,0,0,0,0,0,-116.35,489.18,11.4
15/04/2019,0,20,0,0,-58.38,-26.74,-483.34,0,-12.07,0,0,0,-17.5,0,-4,-16.4,0,0,0,0,0,-8.5,-151.53,-125.69,7.94
22/04/2019,0,0,0,0,-50.72,-9.75,0,0,0,0,0,-11.15,0,0,-7.9,-17.1,0,0,0,0,0,0,-96.62,-222.31,0
29/04/2019,1000,0,0,0,-63.47,-6.8,0,0,0,0,0,0,-6,-10,0,-21.3,-30,0,0,0,0,0,-97.57,640.12,0
06/05/2019,0,0,0,0,-52.19,-20.7,0,0,0,0,0,0,-9.1,0,0,-20,0,0,0,0,0,0,-124.19,515.93,22.2
13/05/2019,1750,0,0,0,-77.12,-18.15,-483.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95.42,1687.17,0.15
20/05/2019,0,30,0,0,-66.13,-7.94,0,0,-13.62,0,0,-2.92,-8.98,-43,-24,-22,0,0,0,0,0,-10,-156.49,1517.68,0.9
27/05/2019,500,50,0,0,-54.38,-16.01,0,0,0,-13.91,0,0,-24.2,-87.5,0,-10.7,-31,0,0,0,0,0,-123.57,1825.61,4.37
03/06/2019,0,0,0,96.93,-55.91,-17.2,0,0,0,0,0,0,0,0,0,-14.9,0,0,0,0,0,-13.99,-110.79,1811.75,8.79
10/06/2019,0,0,0,0,-70.6,-10.5,0,0,0,0,0,0,0,0,0,0,0,-1260,0,0,0,0,-80.89,470.86,-0.21
17/06/2019,0,0,0,0,-61.06,-27.84,-483.34,0,0,0,0,0,0,0,0,-23.8,0,0,0,0,0,-3.49,-119.07,-131.55,2.88
24/06/2019,0,50,0,0,-63.33,-7.29,0,0,0,0,0,0,-8.5,0,0,-12.9,0,0,0,0,0,0,-103.27,-184.82,11.25
01/07/2019,500,475,0,673.24,-46.35,-41.3,-475,0,-12.59,0,0,0,0,-10,0,-21.77,-23.3,-120,0,0,0,-68.11,-198.85,636.27,8.73
08/07/2019,0,207,0,0,-44.5,-26.49,0,0,-216.2,0,0,0,0,0,-10,-36.95,0,0,0,0,0,0,-126.67,500.4,8.73
15/07/2019,0,100,0,0,-52.3,-8.08,-513.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.99,-73.1,13.9600000000004,8.73
22/07/2019,0,120,0,0,-13.79,-5.55,0,0,-5.15,0,0,-26.48,-6.88,0,0,0,0,0,0,0,0,0,-60.63,73.3300000000004,2.78
29/07/2019,500,0,0,994.66,-72.03,-11.35,-475,0,-4.58,0,0,0,-19.08,0,0,-43.4,-18.33,0,0,0,0,-24.01,-163.7,910.96,-10.75
05/08/2019,0,53.9,0,0,-48.41,-9.2,0,0,0,0,0,0,-6.6,0,0,-38.4,0,-250,0,0,0,-66.43,-193.29,521.57,24.25
12/08/2019,0,0,0,0,-63.14,-15.7,0,0,0,-13.66,0,0,-8,-60.99,0,-24.8,0,0,0,0,0,-12.67,-148.12,312.46,10.15
19/08/2019,0,0,0,0,-67.86,-6.2,0,0,0,0,0,0,-8.32,0,-8.7,-37.13,0,0,0,0,0,-16.98,-145.19,167.27,0
26/08/2019,0,0,0,1063.89,-78.92,-2.44,-490,0,0,0,0,0,0,0,0,-39.35,0,-110,0,0,-33.75,-9.86,-135.32,462.090000000001,4.75
02/09/2019,0,100,0,0,-57.94,-17.8,0,0,0,0,0,0,-11.3,0,0,-6.75,-135,-50,0,0,0,-10,-106.11,270.980000000001,2.32
09/09/2019,0,0,0,0,-60.12,-2.5,0,0,-5.93,0,0,0,-28.1,0,-54.3,-35.4,0,0,0,0,0,-3.99,-198.79,72.1900000000005,8.45
16/09/2019,2791.14,0,0,0,-68.35,-18.38,0,0,0,0,-11.43,0,0,0,0,-24.5,0,-1000,0,0,0,-14.71,-138.17,1725.16,0.8
23/09/2019,0,0,0,895.11,-71.52,-5,0,0,-4.2,0,0,0,-15.44,0,-8.5,-6.5,0,-90,0,0,0,-26.73,-137.26,2393.01,-0.63
30/09/2019,0,100,0,0,-42.84,-6.75,-490,0,0,0,0,0,-5.39,0,0,-34.85,0,0,0,0,-67.5,-23.99,-111.5,1824.01,-2.32
07/10/2019,0,0,0,0,-82.14,-6.75,0,0,0,0,0,0,0,-10,0,-14.55,-24.51,0,0,0,0,-17.98,-121.42,1668.08,0
14/10/2019,0,0,0,0,-57.33,-6.25,0,0,-6.02,-6.63,0,0,-7.27,0,-10,-35.9,0,0,0,0,-24.5,0,-129.58,1514,0.18
21/10/2019,0,75,0,501.57,-60.88,-16.95,0,0,0,0,0,0,-16.5,0,0,-17.7,0,0,0,0,0,-19.74,-133.91,1956.66,2.14
28/10/2019,0,3650,0,0,-58.66,-2.74,-490,0,0,0,0,0,-16.49,0,0,-17.85,0,-3500,0,0,-33.75,-48.67,-144.41,1438.5,0
04/11/2019,0,0,0,0,-51.49,-7.07,0,0,0,0,0,0,-13.05,0,0,-10.5,0,0,0,0,0,0,-82.11,1356.39,0
11/11/2019,0,0,0,0,-77.03,-7.5,0,0,-88.05,0,0,0,-11.67,0,0,-17.2,0,0,0,0,0,-39.27,-152.67,1115.67,0
18/11/2019,0,10,0,672.06,-58.1,-13.13,0,0,-1.85,0,0,0,-10,0,-20,-35.35,0,0,0,0,0,-10,-148.43,1649.3,0
